COUNTY;STATE;TP;TPNH;TPH;PPH;AP
Autauga;Alabama;34222;33992;230;0,67;1990
Baldwin;Alabama;98280;97258;1022;1,04;1990
Barbour;Alabama;25417;25293;124;0,49;1990
Bibb;Alabama;16576;16537;39;0,24;1990
Blount;Alabama;39248;38962;286;0,73;1990
Bullock;Alabama;11042;10977;65;0,59;1990
Butler;Alabama;21892;21827;65;0,30;1990
Calhoun;Alabama;116034;114752;1282;1,11;1990
Chambers;Alabama;36876;36749;127;0,34;1990
Cherokee;Alabama;19543;19486;57;0,29;1990
Chilton;Alabama;32458;32342;116;0,36;1990
Choctaw;Alabama;16018;15965;53;0,33;1990
Clarke;Alabama;27240;27137;103;0,38;1990
Clay;Alabama;13252;13225;27;0,20;1990
Cleburne;Alabama;12730;12692;38;0,30;1990
Coffee;Alabama;40240;39769;471;1,17;1990
Colbert;Alabama;51666;51479;187;0,36;1990
Conecuh;Alabama;14054;13972;82;0,58;1990
Coosa;Alabama;11063;11045;18;0,16;1990
Covington;Alabama;36478;36348;130;0,36;1990
Crenshaw;Alabama;13635;13605;30;0,22;1990
Cullman;Alabama;67613;67341;272;0,40;1990
Dale;Alabama;49633;48418;1215;2,45;1990
Dallas;Alabama;48130;47999;131;0,27;1990
DeKalb;Alabama;54651;54436;215;0,39;1990
Elmore;Alabama;49210;48940;270;0,55;1990
Escambia;Alabama;35518;35349;169;0,48;1990
Etowah;Alabama;99840;99509;331;0,33;1990
Fayette;Alabama;17962;17884;78;0,43;1990
Franklin;Alabama;27814;27713;101;0,36;1990
Geneva;Alabama;23647;23526;121;0,51;1990
Greene;Alabama;10153;10129;24;0,24;1990
Hale;Alabama;15498;15441;57;0,37;1990
Henry;Alabama;15374;15282;92;0,60;1990
Houston;Alabama;81331;80867;464;0,57;1990
Jackson;Alabama;47796;47588;208;0,44;1990
Jefferson;Alabama;651525;648780;2745;0,42;1990
Lamar;Alabama;15715;15644;71;0,45;1990
Lauderdale;Alabama;79661;79348;313;0,39;1990
Lawrence;Alabama;31513;31411;102;0,32;1990
Lee;Alabama;87146;86594;552;0,63;1990
Limestone;Alabama;54135;53874;261;0,48;1990
Lowndes;Alabama;12658;12598;60;0,47;1990
Macon;Alabama;24928;24825;103;0,41;1990
Madison;Alabama;238912;235928;2984;1,25;1990
Marengo;Alabama;23084;23009;75;0,33;1990
Marion;Alabama;29830;29765;65;0,22;1990
Marshall;Alabama;70832;70543;289;0,41;1990
Mobile;Alabama;378643;375479;3164;0,84;1990
Monroe;Alabama;23968;23874;94;0,39;1990
Montgomery;Alabama;209085;207461;1624;0,78;1990
Morgan;Alabama;100043;99459;584;0,58;1990
Perry;Alabama;12759;12723;36;0,28;1990
Pickens;Alabama;20699;20649;50;0,24;1990
Pike;Alabama;27595;27487;108;0,39;1990
Randolph;Alabama;19881;19828;53;0,27;1990
