COUNTY STATE 1990TP 1990NHP 1990HP 1990HSP 2000TP 2000NHP 2000HP 2000HSP 2010TP 2010NHP 2010HP 2010HSP 2011TP 2011NHP 2011HP 2011HSP
AutaugaCounty Alabama 34222 33992 230 0,67 43671 43061 610 1,40 54571 53261 1310 2,40 55267 53829 1438 2,60
BaldwinCounty Alabama 98280 97258 1022 1,04 140415 137949 2466 1,76 182265 174273 7992 4,38 186717 178260 8457 4,53
BarbourCounty Alabama 25417 25293 124 0,49 29038 28560 478 1,65 27457 26070 1387 5,05 27119 25669 1450 5,35
BibbCounty Alabama 16576 16537 39 0,24 20826 20616 210 1,01 22915 22509 406 1,77 22766 22313 453 1,99
BlountCounty Alabama 39248 38962 286 0,73 51024 48306 2718 5,33 57322 52696 4626 8,07 57677 52741 4936 8,56
BullockCounty Alabama 11042 10977 65 0,59 11714 11392 322 2,75 10914 10137 777 7,12 10542 9725 817 7,75
ButlerCounty Alabama 21892 21827 65 0,30 21399 21256 143 0,67 20947 20756 191 0,91 20650 20426 224 1,08
CalhounCounty Alabama 116034 114752 1282 1,10 112249 110496 1753 1,56 118572 114679 3893 3,28 117797 113764 4033 3,42
ChambersCounty Alabama 36876 36749 127 0,34 36583 36303 280 0,77 34215 33679 536 1,57 33939 33370 569 1,68
CherokeeCounty Alabama 19543 19486 57 0,29 23988 23784 204 0,85 25989 25669 320 1,23 26057 25694 363 1,39
ChiltonCounty Alabama 32458 32342 116 0,36 39593 38441 1152 2,91 43643 40223 3420 7,84 43895 40484 3411 7,77
ChoctawCounty Alabama 16018 15965 53 0,33 15922 15815 107 0,67 13859 13786 73 0,53 13609 13523 86 0,63
ClarkeCounty Alabama 27240 27137 103 0,38 27867 27687 180 0,65 25833 25562 271 1,05 25695 25386 309 1,20
ClayCounty Alabama 13252 13225 27 0,20 14254 14001 253 1,77 13932 13533 399 2,86 13862 13464 398 2,87
CleburneCounty Alabama 12730 12692 38 0,30 14123 13925 198 1,40 14972 14665 307 2,05 14835 14480 355 2,39
CoffeeCounty Alabama 40240 39769 471 1,17 43615 42432 1183 2,71 49948 46768 3180 6,37 50526 47308 3218 6,37
ColbertCounty Alabama 51666 51479 187 0,36 54984 54366 618 1,12 54428 53335 1093 2,01 54512 53300 1212 2,22
ConecuhCounty Alabama 14054 13972 82 0,58 14089 13987 102 0,72 13228 13067 161 1,22 13105 12909 196 1,50
CoosaCounty Alabama 11063 11045 18 0,16 12202 12044 158 1,29 11539 11309 230 1,99 10713 10474 239 2,23
CovingtonCounty Alabama 36478 36348 130 0,36 37631 37339 292 0,78 37765 37282 483 1,28 38058 37528 530 1,39
CrenshawCounty Alabama 13635 13605 30 0,22 13665 13578 87 0,64 13906 13702 204 1,47 13911 13675 236 1,70
CullmanCounty Alabama 67613 67341 272 0,40 77483 75795 1688 2,18 80406 76952 3454 4,30 80536 76930 3606 4,48
DaleCounty Alabama 49633 48418 1215 2,45 49129 47487 1642 3,34 50251 47430 2821 5,61 50044 47242 2802 5,60
DallasCounty Alabama 48130 47999 131 0,27 46365 46075 290 0,63 43820 43511 309 0,71 43332 42989 343 0,79
DeKalbCounty Alabama 54651 54436 215 0,39 64452 60874 3578 5,55 71109 61419 9690 13,63 71375 61411 9964 13,96
ElmoreCounty Alabama 49210 48940 270 0,55 65874 65069 805 1,22 79303 77174 2129 2,68 80162 77906 2256 2,81
EscambiaCounty Alabama 35518 35349 169 0,48 38440 38061 379 0,99 38319 37601 718 1,87 38095 37327 768 2,02
